tahun;provinsi;nama_kota;nama_kecamatan;nama_kelurahan;pekerjaan_ayah;jenis_kelamin;jumlah
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. PANGGANG;(blank);Laki-laki;4
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. PANGGANG;Buruh Harian Lepas;Laki-laki;1
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. PANGGANG;Buruh Tani/Perkebunan;Laki-laki;1
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. PANGGANG;Guru;Laki-laki;4
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. PANGGANG;Karyawan Honorer;Laki-laki;14
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. PANGGANG;Karyawan Swasta;Laki-laki;16
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. PANGGANG;Nelayan/Perikanan;Laki-laki;16
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. PANGGANG;Pegawai Negeri Sipil;Laki-laki;7
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. PANGGANG;Perawat;Laki-laki;
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. PANGGANG;Wiraswasta;Laki-laki;6
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. KELAPA;(blank);Laki-laki;8
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. KELAPA;Belum/Tidak Bekerja;Laki-laki;1
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. KELAPA;Buruh Harian Lepas;Laki-laki;5
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. KELAPA;Buruh Nelayan/Perikanan;Laki-laki;
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. KELAPA;Guru;Laki-laki;1
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. KELAPA;Karyawan Honorer;Laki-laki;6
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. KELAPA;Karyawan Swasta;Laki-laki;9
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. KELAPA;Nelayan/Perikanan;Laki-laki;20
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. KELAPA;Pegawai Negeri Sipil;Laki-laki;1
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. KELAPA;Pelajar/Mahasiswa;Laki-laki;
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. KELAPA;Perawat;Laki-laki;
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. KELAPA;Wiraswasta;Laki-laki;5
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. HARAPAN;(blank);Laki-laki;3
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. HARAPAN;Belum/Tidak Bekerja;Laki-laki;1
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. HARAPAN;Buruh Harian Lepas;Laki-laki;
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. HARAPAN;Karyawan BUMN;Laki-laki;1
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. HARAPAN;Karyawan Honorer;Laki-laki;8
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. HARAPAN;Karyawan Swasta;Laki-laki;1
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. HARAPAN;Nelayan/Perikanan;Laki-laki;9
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. HARAPAN;Pegawai Negeri Sipil;Laki-laki;2
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. HARAPAN;Wiraswasta;Laki-laki;2
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU SLT;P. UNTUNG JAWA;Guru;Laki-laki;1
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU SLT;P. UNTUNG JAWA;Karyawan Honorer;Laki-laki;3
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU SLT;P. UNTUNG JAWA;Karyawan Swasta;Laki-laki;6
2019;DKI Jakarta;KAB.ADM.KEP.SERIBU;KEP. SERIBU SLT;P. UNTUNG JAWA;Kepolisian RI;Laki-laki;1
